Store Name,Required Images,Division,Region
1001 Waterway,2,Coastal,Aaqib Abrahams
1101 Waterfront,2,Coastal,Aaqib Abrahams
1102 Cavendish,2,Coastal,Aaqib Abrahams
1116 Blue Route,2,Coastal,Aaqib Abrahams
1120 Somerset Mall,2,Coastal,Aaqib Abrahams
1121 Kenilworth,2,Coastal,Aaqib Abrahams
1177 Whale Coast,2,Coastal,Aaqib Abrahams
1199 Liberty Promenade,2,Coastal,Aaqib Abrahams
1214 Ottery Centre,2,Coastal,Aaqib Abrahams
1233 Vergelegen,2,Coastal,Aaqib Abrahams
1263 Sun Valley Mall,2,Coastal,Aaqib Abrahams
1269 Mojo Market,2,Coastal,Aaqib Abrahams
1273 Gardens shopping,2,Coastal,Aaqib Abrahams
1277 Riverside Mall,2,Coastal,Aaqib Abrahams
1279 Golden Acre,2,Coastal,Aaqib Abrahams
1291 Helderberg,2,Coastal,Aaqib Abrahams
1296 3 Arts Village Shopping Centre,2,Coastal,Aaqib Abrahams
1315 Access Park,2,Coastal,Aaqib Abrahams
1103 Canal Walk,2,Coastal,Anrique Davids
1108 Tygervalley,2,Coastal,Anrique Davids
1119 Cape Gate,2,Coastal,Anrique Davids
1122 Mountain Mill,2,Coastal,Anrique Davids
1131 N1 City,2,Coastal,Anrique Davids
1150 Paarl Mall,2,Coastal,Anrique Davids
1151 Bayside,2,Coastal,Anrique Davids
1155 Eikestad Mall,2,Coastal,Anrique Davids
1174 Table Bay Mall,2,Coastal,Anrique Davids
1185 Laguna,2,Coastal,Anrique Davids
1210 Brackenfell Centre,2,Coastal,Anrique Davids
1223 Rembrandt Mall,2,Coastal,Anrique Davids
1231 Atlantis Shopping Centre,2,Coastal,Anrique Davids
1270 Cape Gate Velo,2,Coastal,Anrique Davids
1289 De Zwartland,2,Coastal,Anrique Davids
1297 Springbok,2,Coastal,Anrique Davids
1317 Sandown Retail Crossing,2,Coastal,Anrique Davids
1322 Zevenwacht,2,Coastal,Anrique Davids
1105 Woodlands,2,Inland,Itumeleng Nonyane
1113 Waterfall,2,Inland,Itumeleng Nonyane
1124 Centurion,2,Inland,Itumeleng Nonyane
1127 Menlyn,2,Inland,Itumeleng Nonyane
1139 Brits Mall,2,Inland,Itumeleng Nonyane
1153 Village Mall,2,Inland,Itumeleng Nonyane
1154 Matlosana,2,Inland,Itumeleng Nonyane
1192 Centurion Lifestyle,2,Inland,Itumeleng Nonyane
1215 Atterbury Value Mart,2,Inland,Itumeleng Nonyane
1251 Clearview Square,2,Inland,Itumeleng Nonyane
1254 Moreleta Corner,2,Inland,Itumeleng Nonyane
1255 Menlyn Velo,2,Inland,Itumeleng Nonyane
1283 Mall @ Reds,2,Inland,Itumeleng Nonyane
1295 Southdown,2,Inland,Itumeleng Nonyane
1304 Menlyn Maine,2,Inland,Itumeleng Nonyane
1314 Westacres Mall,2,Inland,Itumeleng Nonyane
1138 Secunda,2,Inland,Johan Lewis
1140 EastRand,2,Inland,Johan Lewis
1144 OR Tambo,2,Inland,Johan Lewis
1146 Middelburg,2,Inland,Johan Lewis
1161 Mall of Africa,2,Inland,Johan Lewis
1169 I'Langa,2,Inland,Johan Lewis
1180 Greenstone,2,Inland,Johan Lewis
1183 Irene Village,2,Inland,Johan Lewis
1189 Hazyview Junction,2,Inland,Johan Lewis
1219 Stimela Crossing,2,Inland,Johan Lewis
1248 Boulders Mall,2,Inland,Johan Lewis
1265 Highveld Mall,2,Inland,Johan Lewis
1275 Farrarmere,2,Inland,Johan Lewis
1287 Glen Balad,2,Inland,Johan Lewis
1298 Alex Mall,2,Inland,Johan Lewis
1306 Norkem Corner,2,Inland,Johan Lewis
1319 Merino,2,Inland,Johan Lewis
1109 Greenacres,2,Coastal,Maghdie Connelly
1141 Garden Route Mall,2,Coastal,Maghdie Connelly
1156 Baywest,2,Coastal,Maghdie Connelly
1193 Boardwalk Mall Gqeberha,2,Coastal,Maghdie Connelly
1198 Vincent Park,2,Coastal,Maghdie Connelly
1208 Mall of Mthatha,2,Coastal,Maghdie Connelly
1258 Rosehill Mall,2,Coastal,Maghdie Connelly
1272 Corkwood Square,2,Coastal,Maghdie Connelly
1276 Fountains Mall,2,Coastal,Maghdie Connelly
1309 Klein Karoo,2,Coastal,Maghdie Connelly
1316 Milkwood Square,2,Coastal,Maghdie Connelly
1320 Beacon Bay,2,Coastal,Maghdie Connelly
1321 Garden Walk,2,Coastal,Maghdie Connelly
1110 Eastgate,2,Inland,Mbali Mbhele
1114 The Glen,2,Inland,Mbali Mbhele
1115 Bedford Centre,2,Inland,Mbali Mbhele
1134 Carnival,2,Inland,Mbali Mbhele
1148 Vaal Mall,2,Inland,Mbali Mbhele
1149 River Square,2,Inland,Mbali Mbhele
1164 Mall of the South,2,Inland,Mbali Mbhele
1168 Springs Mall,2,Inland,Mbali Mbhele
1182 Newmarket Mall,2,Inland,Mbali Mbhele
1250 Heidelberg Mall,2,Inland,Mbali Mbhele
1293 Bedworth Center,2,Inland,Mbali Mbhele
1307 Sasolburg Junxion,2,Inland,Mbali Mbhele
1125 Northgate,2,Inland,Neo Mosenki
1128 Nicolway,2,Inland,Neo Mosenki
1129 Cresta,2,Inland,Neo Mosenki
1130 Benmore,2,Inland,Neo Mosenki
1133 Sandton,2,Inland,Neo Mosenki
1163 Morningside,2,Inland,Neo Mosenki
1175 Fourways,2,Inland,Neo Mosenki
1201 Dainfern Square,2,Inland,Neo Mosenki
1202 Bryanston Shopping Centre,2,Inland,Neo Mosenki
1205 Kyalami Corner,2,Inland,Neo Mosenki
1218 Woodmead Retail Park,2,Inland,Neo Mosenki
1256 Morning Glen Mall,2,Inland,Neo Mosenki
1284 Fourways Crossing,2,Inland,Neo Mosenki
1311 Ferndale on republic,2,Inland,Neo Mosenki
1126 Brooklyn,2,Inland,Nonhlanhla Ndlovu
1147 Grove Pretoria,2,Inland,Nonhlanhla Ndlovu
1157 Mall of the North,2,Inland,Nonhlanhla Ndlovu
1167 Kolonnade,2,Inland,Nonhlanhla Ndlovu
1184 Wonderpark,2,Inland,Nonhlanhla Ndlovu
1209 Bela Mall,2,Inland,Nonhlanhla Ndlovu
1222 Watermeyer,2,Inland,Nonhlanhla Ndlovu
1260 Wonderboom,2,Inland,Nonhlanhla Ndlovu
1274 Makhado Crossing,2,Inland,Nonhlanhla Ndlovu
1282 Savannah Mall,2,Inland,Nonhlanhla Ndlovu
